bus_id,time_period,route,segment_start,segment_end,fuel_liters,idle_minutes,travel_minutes,emissions_kgCO2e
Neoplan_1,0,Commercial Area route,Commercial Area,Unity Hall,0.95,3.0,2.8,19.85
Neoplan_1,1,Commercial Area route,Unity Hall,Library Plaza,0.72,2.0,3.2,16.24
Neoplan_1,2,Commercial Area route,Library Plaza,Student Center,0.88,4.0,3.0,19.68
Neoplan_1,3,Commercial Area route,Student Center,Commercial Area,0.82,5.0,2.5,18.57
Nissan_2,0,Residential route,North Dorms,South Dorms,0.58,2.0,4.2,14.26
Nissan_2,1,Residential route,South Dorms,East Parking,0.63,1.0,3.8,14.93
Nissan_2,2,Residential route,East Parking,West Campus,0.74,3.0,3.5,17.14
Nissan_2,3,Residential route,West Campus,North Dorms,0.68,4.0,3.1,15.88
Mercedes_3,0,Academic route,Engineering Building,Science Complex,0.92,1.0,2.3,20.06
Mercedes_3,1,Academic route,Science Complex,Arts Building,0.81,2.0,2.8,18.21
Mercedes_3,2,Academic route,Arts Building,Business School,0.85,3.0,2.6,19.15
Mercedes_3,3,Academic route,Business School,Engineering Building,0.88,4.0,2.4,19.92
Neoplan_1,4,Commercial Area route,Commercial Area,Unity Hall,0.93,4.0,2.6,20.13
Neoplan_1,5,Commercial Area route,Unity Hall,Library Plaza,0.75,3.0,3.1,16.95
Neoplan_1,6,Commercial Area route,Library Plaza,Student Center,0.91,5.0,2.9,20.41
Neoplan_1,7,Commercial Area route,Student Center,Commercial Area,0.79,6.0,2.3,18.09
Nissan_2,4,Residential route,North Dorms,South Dorms,0.61,3.0,4.0,15.01
Nissan_2,5,Residential route,South Dorms,East Parking,0.59,2.0,3.6,14.19
Nissan_2,6,Residential route,East Parking,West Campus,0.72,4.0,3.3,16.62
Nissan_2,7,Residential route,West Campus,North Dorms,0.66,5.0,2.9,15.41
Mercedes_3,4,Academic route,Engineering Building,Science Complex,0.96,2.0,2.1,20.76
Mercedes_3,5,Academic route,Science Complex,Arts Building,0.78,3.0,2.6,17.58
Mercedes_3,6,Academic route,Arts Building,Business School,0.83,4.0,2.4,18.63
Mercedes_3,7,Academic route,Business School,Engineering Building,0.91,5.0,2.2,20.31
Neoplan_1,8,Commercial Area route,Commercial Area,Unity Hall,0.98,2.0,2.4,20.78
Neoplan_1,9,Commercial Area route,Unity Hall,Library Plaza,0.76,4.0,2.8,17.16
Neoplan_1,10,Commercial Area route,Library Plaza,Student Center,0.89,3.0,2.7,19.49
Neoplan_1,11,Commercial Area route,Student Center,Commercial Area,0.84,7.0,2.1,19.14
Nissan_2,8,Residential route,North Dorms,South Dorms,0.64,2.0,3.8,15.24
Nissan_2,9,Residential route,South Dorms,East Parking,0.67,3.0,3.3,15.77
Nissan_2,10,Residential route,East Parking,West Campus,0.77,5.0,3.1,17.72
Nissan_2,11,Residential route,West Campus,North Dorms,0.71,6.0,2.7,16.51
Mercedes_3,8,Academic route,Engineering Building,Science Complex,1.01,3.0,1.9,21.73
Mercedes_3,9,Academic route,Science Complex,Arts Building,0.84,4.0,2.4,18.84
Mercedes_3,10,Academic route,Arts Building,Business School,0.87,5.0,2.2,19.57
Mercedes_3,11,Academic route,Business School,Engineering Building,0.94,6.0,2.0,21.14
Neoplan_1,12,Commercial Area route,Commercial Area,Unity Hall,0.96,3.0,2.5,20.46
Neoplan_1,13,Commercial Area route,Unity Hall,Library Plaza,0.73,2.0,2.9,16.53
Neoplan_1,14,Commercial Area route,Library Plaza,Student Center,0.92,4.0,2.8,20.12
Neoplan_1,15,Commercial Area route,Student Center,Commercial Area,0.81,5.0,2.2,18.41
Nissan_2,12,Residential route,North Dorms,South Dorms,0.60,3.0,3.9,14.70
Nissan_2,13,Residential route,South Dorms,East Parking,0.65,1.0,3.5,15.25
Nissan_2,14,Residential route,East Parking,West Campus,0.75,4.0,3.2,17.35
Nissan_2,15,Residential route,West Campus,North Dorms,0.69,5.0,2.8,16.19
Mercedes_3,12,Academic route,Engineering Building,Science Complex,0.94,2.0,2.0,20.34
Mercedes_3,13,Academic route,Science Complex,Arts Building,0.82,3.0,2.5,18.32
Mercedes_3,14,Academic route,Arts Building,Business School,0.86,4.0,2.3,19.26
Mercedes_3,15,Academic route,Business School,Engineering Building,0.89,5.0,2.1,20.09
Neoplan_1,16,Commercial Area route,Commercial Area,Unity Hall,1.00,4.0,2.3,21.40
Neoplan_1,17,Commercial Area route,Unity Hall,Library Plaza,0.78,3.0,2.9,17.58
Neoplan_1,18,Commercial Area route,Library Plaza,Student Center,0.94,5.0,2.6,20.74
Neoplan_1,19,Commercial Area route,Student Center,Commercial Area,0.86,6.0,2.0,19.66
Nissan_2,16,Residential route,North Dorms,South Dorms,0.66,2.0,3.7,15.66
Nissan_2,17,Residential route,South Dorms,East Parking,0.62,2.0,3.4,14.82
Nissan_2,18,Residential route,East Parking,West Campus,0.79,3.0,3.0,17.89
Nissan_2,19,Residential route,West Campus,North Dorms,0.73,4.0,2.6,16.93
Mercedes_3,16,Academic route,Engineering Building,Science Complex,0.99,1.0,1.8,21.17
Mercedes_3,17,Academic route,Science Complex,Arts Building,0.86,2.0,2.2,18.86
Mercedes_3,18,Academic route,Arts Building,Business School,0.90,3.0,2.1,19.80
Mercedes_3,19,Academic route,Business School,Engineering Building,0.97,4.0,1.9,21.57
Neoplan_1,20,Commercial Area route,Commercial Area,Unity Hall,0.97,3.0,2.4,20.67
Neoplan_1,21,Commercial Area route,Unity Hall,Library Plaza,0.75,2.0,2.8,16.95
Neoplan_1,22,Commercial Area route,Library Plaza,Student Center,0.90,4.0,2.7,19.70
Neoplan_1,23,Commercial Area route,Student Center,Commercial Area,0.83,5.0,2.1,18.83
Nissan_2,20,Residential route,North Dorms,South Dorms,0.61,3.0,3.8,15.01
Nissan_2,21,Residential route,South Dorms,East Parking,0.68,2.0,3.4,15.98
Nissan_2,22,Residential route,East Parking,West Campus,0.76,4.0,3.1,17.56
Nissan_2,23,Residential route,West Campus,North Dorms,0.70,5.0,2.7,16.30
Mercedes_3,20,Academic route,Engineering Building,Science Complex,0.95,2.0,1.9,20.55
Mercedes_3,21,Academic route,Science Complex,Arts Building,0.83,3.0,2.3,18.53
Mercedes_3,22,Academic route,Arts Building,Business School,0.88,4.0,2.2,19.68
Mercedes_3,23,Academic route,Business School,Engineering Building,0.93,5.0,2.0,20.93
