bus_id,time_period,route,segment_start,segment_end,fuel_liters,idle_minutes,travel_minutes,emissions_kgCO2e
Neoplan_1,0,Commercial Area route,Commercial Area,Unity Hall,1.20,15.0,2.5,28.45
Neoplan_1,1,Commercial Area route,Unity Hall,Library Plaza,0.80,8.0,3.0,19.12
Neoplan_1,2,Commercial Area route,Library Plaza,Student Center,1.10,12.0,2.8,26.33
Neoplan_1,3,Commercial Area route,Student Center,Commercial Area,0.95,20.0,2.2,25.18
Nissan_2,0,Residential route,North Dorms,South Dorms,0.65,10.0,4.0,16.88
Nissan_2,1,Residential route,South Dorms,East Parking,0.70,6.0,3.5,17.45
Nissan_2,2,Residential route,East Parking,West Campus,0.85,14.0,3.2,22.67
Nissan_2,3,Residential route,West Campus,North Dorms,0.75,18.0,2.8,21.35
Mercedes_3,0,Academic route,Engineering Building,Science Complex,1.05,5.0,2.0,24.15
Mercedes_3,1,Academic route,Science Complex,Arts Building,0.90,9.0,2.5,21.78
Mercedes_3,2,Academic route,Arts Building,Business School,0.95,11.0,2.3,23.42
Mercedes_3,3,Academic route,Business School,Engineering Building,1.00,16.0,2.1,25.87
Neoplan_1,4,Commercial Area route,Commercial Area,Unity Hall,1.15,18.0,2.3,27.89
Neoplan_1,5,Commercial Area route,Unity Hall,Library Plaza,0.85,10.0,2.8,20.67
Neoplan_1,6,Commercial Area route,Library Plaza,Student Center,1.05,15.0,2.6,25.88
Neoplan_1,7,Commercial Area route,Student Center,Commercial Area,0.90,22.0,2.0,24.72
Nissan_2,4,Residential route,North Dorms,South Dorms,0.70,12.0,3.8,18.44
Nissan_2,5,Residential route,South Dorms,East Parking,0.68,8.0,3.2,17.12
Nissan_2,6,Residential route,East Parking,West Campus,0.82,16.0,3.0,22.15
Nissan_2,7,Residential route,West Campus,North Dorms,0.78,20.0,2.6,21.98
Mercedes_3,4,Academic route,Engineering Building,Science Complex,1.10,7.0,1.8,25.33
Mercedes_3,5,Academic route,Science Complex,Arts Building,0.88,12.0,2.3,22.55
Mercedes_3,6,Academic route,Arts Building,Business School,0.92,14.0,2.1,24.18
Mercedes_3,7,Academic route,Business School,Engineering Building,1.08,19.0,1.9,27.42
Neoplan_1,8,Commercial Area route,Commercial Area,Unity Hall,1.25,20.0,2.1,30.15
Neoplan_1,9,Commercial Area route,Unity Hall,Library Plaza,0.88,12.0,2.5,21.44
Neoplan_1,10,Commercial Area route,Library Plaza,Student Center,1.12,17.0,2.4,27.56
Neoplan_1,11,Commercial Area route,Student Center,Commercial Area,0.98,25.0,1.8,26.89
Nissan_2,8,Residential route,North Dorms,South Dorms,0.72,14.0,3.6,19.12
Nissan_2,9,Residential route,South Dorms,East Parking,0.75,10.0,3.0,18.75
Nissan_2,10,Residential route,East Parking,West Campus,0.88,18.0,2.8,23.88
Nissan_2,11,Residential route,West Campus,North Dorms,0.80,22.0,2.4,22.80
Mercedes_3,8,Academic route,Engineering Building,Science Complex,1.15,9.0,1.6,26.85
Mercedes_3,9,Academic route,Science Complex,Arts Building,0.95,15.0,2.1,24.45
Mercedes_3,10,Academic route,Arts Building,Business School,0.98,16.0,1.9,25.78
Mercedes_3,11,Academic route,Business School,Engineering Building,1.12,21.0,1.7,29.12
Neoplan_1,12,Commercial Area route,Commercial Area,Unity Hall,1.18,16.0,2.2,28.56
Neoplan_1,13,Commercial Area route,Unity Hall,Library Plaza,0.82,9.0,2.7,19.94
Neoplan_1,14,Commercial Area route,Library Plaza,Student Center,1.08,14.0,2.5,26.58
Neoplan_1,15,Commercial Area route,Student Center,Commercial Area,0.94,21.0,1.9,25.34
Nissan_2,12,Residential route,North Dorms,South Dorms,0.68,11.0,3.7,17.68
Nissan_2,13,Residential route,South Dorms,East Parking,0.73,7.0,3.3,18.23
Nissan_2,14,Residential route,East Parking,West Campus,0.85,15.0,2.9,22.85
Nissan_2,15,Residential route,West Campus,North Dorms,0.77,19.0,2.5,21.57
Mercedes_3,12,Academic route,Engineering Building,Science Complex,1.08,6.0,1.7,24.98
Mercedes_3,13,Academic route,Science Complex,Arts Building,0.92,10.0,2.2,22.32
Mercedes_3,14,Academic route,Arts Building,Business School,0.96,13.0,2.0,24.56
Mercedes_3,15,Academic route,Business School,Engineering Building,1.05,17.0,1.8,26.55
Neoplan_1,16,Commercial Area route,Commercial Area,Unity Hall,1.22,19.0,2.0,29.78
Neoplan_1,17,Commercial Area route,Unity Hall,Library Plaza,0.86,11.0,2.6,20.86
Neoplan_1,18,Commercial Area route,Library Plaza,Student Center,1.14,16.0,2.3,28.04
Neoplan_1,19,Commercial Area route,Student Center,Commercial Area,1.00,24.0,1.7,27.40
Nissan_2,16,Residential route,North Dorms,South Dorms,0.74,13.0,3.5,19.64
Nissan_2,17,Residential route,South Dorms,East Parking,0.71,9.0,3.1,17.91
Nissan_2,18,Residential route,East Parking,West Campus,0.89,17.0,2.7,24.19
Nissan_2,19,Residential route,West Campus,North Dorms,0.82,21.0,2.3,23.42
Mercedes_3,16,Academic route,Engineering Building,Science Complex,1.13,8.0,1.5,26.23
Mercedes_3,17,Academic route,Science Complex,Arts Building,0.97,14.0,1.9,24.97
Mercedes_3,18,Academic route,Arts Building,Business School,1.01,15.0,1.8,26.41
Mercedes_3,19,Academic route,Business School,Engineering Building,1.15,20.0,1.6,29.75
Neoplan_1,20,Commercial Area route,Commercial Area,Unity Hall,1.16,17.0,2.1,28.06
Neoplan_1,21,Commercial Area route,Unity Hall,Library Plaza,0.84,10.0,2.6,20.44
Neoplan_1,22,Commercial Area route,Library Plaza,Student Center,1.06,15.0,2.4,26.06
Neoplan_1,23,Commercial Area route,Student Center,Commercial Area,0.96,23.0,1.8,26.16
Nissan_2,20,Residential route,North Dorms,South Dorms,0.69,12.0,3.6,18.09
Nissan_2,21,Residential route,South Dorms,East Parking,0.76,8.0,3.2,18.96
Nissan_2,22,Residential route,East Parking,West Campus,0.87,16.0,2.8,23.47
Nissan_2,23,Residential route,West Campus,North Dorms,0.79,20.0,2.4,22.19
Mercedes_3,20,Academic route,Engineering Building,Science Complex,1.09,7.0,1.6,25.19
Mercedes_3,21,Academic route,Science Complex,Arts Building,0.94,11.0,2.0,22.94
Mercedes_3,22,Academic route,Arts Building,Business School,0.99,14.0,1.9,25.19
Mercedes_3,23,Academic route,Business School,Engineering Building,1.10,18.0,1.7,27.90
